classification,shape,emitters,central_focus_pressure_au,error_mean_au,error_p05_au,error_p95_au,gap_m,pitch_m,sound_speed_m_s
SIMULATION_ESTIMATE,planar,2,24.999999999999996,24.544616454252836,21.399955761446517,27.60560789868793,0.16,0.018,343.0
SIMULATION_ESTIMATE,planar,8,88.64951777608752,86.09701793781977,82.23830931112118,90.88735295756943,0.16,0.018,343.0
SIMULATION_ESTIMATE,planar,16,144.1526770213912,139.45859127188544,134.08861860800596,144.87644613485784,0.16,0.018,343.0
SIMULATION_ESTIMATE,planar,32,234.74145613829796,227.32214273450327,221.15840545127804,233.54171620578734,0.16,0.018,343.0
SIMULATION_ESTIMATE,planar,72,308.4511363641989,299.22105891420614,289.9500278878164,305.7579526887005,0.16,0.018,343.0
SIMULATION_ESTIMATE,planar,128,302.9149681657057,293.8379910250415,285.2367926069624,300.965600338192,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,2,24.999999999999996,24.179612913707565,21.211322830286957,27.38348219563456,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,8,96.05342107284875,92.74653268551438,85.88084097110342,99.2363404964622,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,16,178.3195243105119,172.4745311841289,166.16434015784012,180.1877513257833,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,32,331.6773493001281,320.6307104394438,311.40658354775195,330.3707647735416,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,72,607.0165418070854,586.3312743251428,574.7693643103745,598.1904083402608,0.16,0.018,343.0
SIMULATION_ESTIMATE,concave,128,854.2666947850258,824.9842887856471,806.8042307083442,836.6207712906481,0.16,0.018,343.0
