CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,27,0,1,27
UPPER_TX_01,1,152,0,1,152
UPPER_TX_02,2,215,0,1,215
UPPER_TX_03,3,215,0,1,215
UPPER_TX_04,4,152,0,1,152
UPPER_TX_05,5,27,0,1,27
UPPER_TX_06,6,152,0,1,152
UPPER_TX_07,7,23,0,1,23
UPPER_TX_08,8,89,0,1,89
UPPER_TX_09,9,89,0,1,89
UPPER_TX_10,10,23,0,1,23
UPPER_TX_11,11,152,0,1,152
UPPER_TX_12,12,215,0,1,215
UPPER_TX_13,13,89,0,1,89
UPPER_TX_14,14,155,0,1,155
UPPER_TX_15,15,155,0,1,155
UPPER_TX_16,16,89,0,1,89
UPPER_TX_17,17,215,0,1,215
UPPER_TX_18,18,215,0,1,215
UPPER_TX_19,19,89,0,1,89
UPPER_TX_20,20,155,0,1,155
UPPER_TX_21,21,155,0,1,155
UPPER_TX_22,22,89,0,1,89
UPPER_TX_23,23,215,0,1,215
UPPER_TX_24,24,152,0,1,152
UPPER_TX_25,25,23,0,1,23
UPPER_TX_26,26,89,0,1,89
UPPER_TX_27,27,89,0,1,89
UPPER_TX_28,28,23,0,1,23
UPPER_TX_29,29,152,0,1,152
UPPER_TX_30,30,27,0,1,27
UPPER_TX_31,31,152,0,1,152
UPPER_TX_32,32,215,0,1,215
UPPER_TX_33,33,215,0,1,215
UPPER_TX_34,34,152,0,1,152
UPPER_TX_35,35,27,0,1,27
UPPER_TX_36,36,0,0,0,0
UPPER_TX_37,37,0,0,0,0
UPPER_TX_38,38,0,0,0,0
UPPER_TX_39,39,0,0,0,0
UPPER_TX_40,40,0,0,0,0
UPPER_TX_41,41,0,0,0,0
UPPER_TX_42,42,0,0,0,0
UPPER_TX_43,43,0,0,0,0
UPPER_TX_44,44,0,0,0,0
UPPER_TX_45,45,0,0,0,0
UPPER_TX_46,46,0,0,0,0
UPPER_TX_47,47,0,0,0,0
UPPER_TX_48,48,0,0,0,0
UPPER_TX_49,49,0,0,0,0
UPPER_TX_50,50,0,0,0,0
UPPER_TX_51,51,0,0,0,0
UPPER_TX_52,52,0,0,0,0
UPPER_TX_53,53,0,0,0,0
UPPER_TX_54,54,0,0,0,0
UPPER_TX_55,55,0,0,0,0
UPPER_TX_56,56,0,0,0,0
UPPER_TX_57,57,0,0,0,0
UPPER_TX_58,58,0,0,0,0
UPPER_TX_59,59,0,0,0,0
UPPER_TX_60,60,0,0,0,0
UPPER_TX_61,61,0,0,0,0
UPPER_TX_62,62,0,0,0,0
UPPER_TX_63,63,0,0,0,0
LOWER_TX_00,64,155,0,1,155
LOWER_TX_01,65,24,0,1,24
LOWER_TX_02,66,87,0,1,87
LOWER_TX_03,67,87,0,1,87
LOWER_TX_04,68,24,0,1,24
LOWER_TX_05,69,155,0,1,155
LOWER_TX_06,70,24,0,1,24
LOWER_TX_07,71,151,0,1,151
LOWER_TX_08,72,217,0,1,217
LOWER_TX_09,73,217,0,1,217
LOWER_TX_10,74,151,0,1,151
LOWER_TX_11,75,24,0,1,24
LOWER_TX_12,76,87,0,1,87
LOWER_TX_13,77,217,0,1,217
LOWER_TX_14,78,27,0,1,27
LOWER_TX_15,79,27,0,1,27
LOWER_TX_16,80,217,0,1,217
LOWER_TX_17,81,87,0,1,87
LOWER_TX_18,82,87,0,1,87
LOWER_TX_19,83,217,0,1,217
LOWER_TX_20,84,27,0,1,27
LOWER_TX_21,85,27,0,1,27
LOWER_TX_22,86,217,0,1,217
LOWER_TX_23,87,87,0,1,87
LOWER_TX_24,88,24,0,1,24
LOWER_TX_25,89,151,0,1,151
LOWER_TX_26,90,217,0,1,217
LOWER_TX_27,91,217,0,1,217
LOWER_TX_28,92,151,0,1,151
LOWER_TX_29,93,24,0,1,24
LOWER_TX_30,94,155,0,1,155
LOWER_TX_31,95,24,0,1,24
LOWER_TX_32,96,87,0,1,87
LOWER_TX_33,97,87,0,1,87
LOWER_TX_34,98,24,0,1,24
LOWER_TX_35,99,155,0,1,155
LOWER_TX_36,100,0,0,0,0
LOWER_TX_37,101,0,0,0,0
LOWER_TX_38,102,0,0,0,0
LOWER_TX_39,103,0,0,0,0
LOWER_TX_40,104,0,0,0,0
LOWER_TX_41,105,0,0,0,0
LOWER_TX_42,106,0,0,0,0
LOWER_TX_43,107,0,0,0,0
LOWER_TX_44,108,0,0,0,0
LOWER_TX_45,109,0,0,0,0
LOWER_TX_46,110,0,0,0,0
LOWER_TX_47,111,0,0,0,0
LOWER_TX_48,112,0,0,0,0
LOWER_TX_49,113,0,0,0,0
LOWER_TX_50,114,0,0,0,0
LOWER_TX_51,115,0,0,0,0
LOWER_TX_52,116,0,0,0,0
LOWER_TX_53,117,0,0,0,0
LOWER_TX_54,118,0,0,0,0
LOWER_TX_55,119,0,0,0,0
LOWER_TX_56,120,0,0,0,0
LOWER_TX_57,121,0,0,0,0
LOWER_TX_58,122,0,0,0,0
LOWER_TX_59,123,0,0,0,0
LOWER_TX_60,124,0,0,0,0
LOWER_TX_61,125,0,0,0,0
LOWER_TX_62,126,0,0,0,0
LOWER_TX_63,127,0,0,0,0
