CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,92,0,1,92
UPPER_TX_01,1,253,0,1,253
UPPER_TX_02,2,111,0,1,111
UPPER_TX_03,3,171,0,1,171
UPPER_TX_04,4,171,0,1,171
UPPER_TX_05,5,111,0,1,111
UPPER_TX_06,6,253,0,1,253
UPPER_TX_07,7,92,0,1,92
UPPER_TX_08,8,253,0,1,253
UPPER_TX_09,9,171,0,1,171
UPPER_TX_10,10,39,0,1,39
UPPER_TX_11,11,104,0,1,104
UPPER_TX_12,12,104,0,1,104
UPPER_TX_13,13,39,0,1,39
UPPER_TX_14,14,171,0,1,171
UPPER_TX_15,15,253,0,1,253
UPPER_TX_16,16,111,0,1,111
UPPER_TX_17,17,39,0,1,39
UPPER_TX_18,18,171,0,1,171
UPPER_TX_19,19,240,0,1,240
UPPER_TX_20,20,240,0,1,240
UPPER_TX_21,21,171,0,1,171
UPPER_TX_22,22,39,0,1,39
UPPER_TX_23,23,111,0,1,111
UPPER_TX_24,24,171,0,1,171
UPPER_TX_25,25,104,0,1,104
UPPER_TX_26,26,240,0,1,240
UPPER_TX_27,27,57,0,1,57
UPPER_TX_28,28,57,0,1,57
UPPER_TX_29,29,240,0,1,240
UPPER_TX_30,30,104,0,1,104
UPPER_TX_31,31,171,0,1,171
UPPER_TX_32,32,171,0,1,171
UPPER_TX_33,33,104,0,1,104
UPPER_TX_34,34,240,0,1,240
UPPER_TX_35,35,57,0,1,57
UPPER_TX_36,36,57,0,1,57
UPPER_TX_37,37,240,0,1,240
UPPER_TX_38,38,104,0,1,104
UPPER_TX_39,39,171,0,1,171
UPPER_TX_40,40,111,0,1,111
UPPER_TX_41,41,39,0,1,39
UPPER_TX_42,42,171,0,1,171
UPPER_TX_43,43,240,0,1,240
UPPER_TX_44,44,240,0,1,240
UPPER_TX_45,45,171,0,1,171
UPPER_TX_46,46,39,0,1,39
UPPER_TX_47,47,111,0,1,111
UPPER_TX_48,48,253,0,1,253
UPPER_TX_49,49,171,0,1,171
UPPER_TX_50,50,39,0,1,39
UPPER_TX_51,51,104,0,1,104
UPPER_TX_52,52,104,0,1,104
UPPER_TX_53,53,39,0,1,39
UPPER_TX_54,54,171,0,1,171
UPPER_TX_55,55,253,0,1,253
UPPER_TX_56,56,92,0,1,92
UPPER_TX_57,57,253,0,1,253
UPPER_TX_58,58,111,0,1,111
UPPER_TX_59,59,171,0,1,171
UPPER_TX_60,60,171,0,1,171
UPPER_TX_61,61,111,0,1,111
UPPER_TX_62,62,253,0,1,253
UPPER_TX_63,63,92,0,1,92
LOWER_TX_00,64,92,0,1,92
LOWER_TX_01,65,253,0,1,253
LOWER_TX_02,66,111,0,1,111
LOWER_TX_03,67,171,0,1,171
LOWER_TX_04,68,171,0,1,171
LOWER_TX_05,69,111,0,1,111
LOWER_TX_06,70,253,0,1,253
LOWER_TX_07,71,92,0,1,92
LOWER_TX_08,72,253,0,1,253
LOWER_TX_09,73,171,0,1,171
LOWER_TX_10,74,39,0,1,39
LOWER_TX_11,75,104,0,1,104
LOWER_TX_12,76,104,0,1,104
LOWER_TX_13,77,39,0,1,39
LOWER_TX_14,78,171,0,1,171
LOWER_TX_15,79,253,0,1,253
LOWER_TX_16,80,111,0,1,111
LOWER_TX_17,81,39,0,1,39
LOWER_TX_18,82,171,0,1,171
LOWER_TX_19,83,240,0,1,240
LOWER_TX_20,84,240,0,1,240
LOWER_TX_21,85,171,0,1,171
LOWER_TX_22,86,39,0,1,39
LOWER_TX_23,87,111,0,1,111
LOWER_TX_24,88,171,0,1,171
LOWER_TX_25,89,104,0,1,104
LOWER_TX_26,90,240,0,1,240
LOWER_TX_27,91,57,0,1,57
LOWER_TX_28,92,57,0,1,57
LOWER_TX_29,93,240,0,1,240
LOWER_TX_30,94,104,0,1,104
LOWER_TX_31,95,171,0,1,171
LOWER_TX_32,96,171,0,1,171
LOWER_TX_33,97,104,0,1,104
LOWER_TX_34,98,240,0,1,240
LOWER_TX_35,99,57,0,1,57
LOWER_TX_36,100,57,0,1,57
LOWER_TX_37,101,240,0,1,240
LOWER_TX_38,102,104,0,1,104
LOWER_TX_39,103,171,0,1,171
LOWER_TX_40,104,111,0,1,111
LOWER_TX_41,105,39,0,1,39
LOWER_TX_42,106,171,0,1,171
LOWER_TX_43,107,240,0,1,240
LOWER_TX_44,108,240,0,1,240
LOWER_TX_45,109,171,0,1,171
LOWER_TX_46,110,39,0,1,39
LOWER_TX_47,111,111,0,1,111
LOWER_TX_48,112,253,0,1,253
LOWER_TX_49,113,171,0,1,171
LOWER_TX_50,114,39,0,1,39
LOWER_TX_51,115,104,0,1,104
LOWER_TX_52,116,104,0,1,104
LOWER_TX_53,117,39,0,1,39
LOWER_TX_54,118,171,0,1,171
LOWER_TX_55,119,253,0,1,253
LOWER_TX_56,120,92,0,1,92
LOWER_TX_57,121,253,0,1,253
LOWER_TX_58,122,111,0,1,111
LOWER_TX_59,123,171,0,1,171
LOWER_TX_60,124,171,0,1,171
LOWER_TX_61,125,111,0,1,111
LOWER_TX_62,126,253,0,1,253
LOWER_TX_63,127,92,0,1,92
