source,package_pin,function_verbatim,direction,io_standard,bank_vcco
Zynq7020/constrain/gpio.const,U20,J3 Pin2,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T20,J3 Pin1,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,N17,J3 Pin3,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,P18,J3 Pin4,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T17,J3 Pin5,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,R18,J3 Pin6,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U18,J3 Pin7,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U19,J3 Pin8,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V17,J3 Pin13,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V18,J3 Pin14,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T16,J3 Pin15,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U17,J3 Pin16,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T14,J3 Pin17,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T15,J3 Pin18,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U14,J3 Pin19,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U15,J3 Pin20,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,H15,J4 Pin1,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,W16,J6 Pin1,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V16,J6 Pin,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V15,J6 Pin3,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,Y17,J6 Pin4,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,W15,J6 Pin5,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,Y16,J6 Pin6,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,Y14,J6 Pin7,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,W14,J6 Pin8,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V13,J6 Pin13,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U13,J6 Pin14,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,W13,J6 Pin15,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,V12,J6 Pin16,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,U12,J6 Pin17,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T12,J6 Pin18,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T11,J6 Pin19,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,T10,J6 Pin20,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,G15,J4 Pin2,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,F16,J4 Pin3,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,F17,J4 Pin4,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,E17,J4 Pin5,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,D18,J4 Pin6,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,E18,J4 Pin6,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,E19,J4 Pin8,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,B19,J4 Pin13,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,A20,J4 Pin14,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,C20,J4 Pin15,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,B20,J4 Pin16,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,D19,J4 Pin17,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,D20,J4 Pin18,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,F19,J4 Pin19,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,F20,J4 Pin20,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,G19,J5 Pin1,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,G20,J5 Pin2,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,G17,J5 Pin3,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,G18,J5 Pin4,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,H16,J5 Pin5,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,H17,J5 Pin6,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,K19,J5 Pin7,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,J19,J5 Pin8,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,L19,J5 Pin13,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,M19,J5 Pin15,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,M20,J5 Pin16,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,M17,J5 Pin17,inout,UNKNOWN,UNKNOWN
Zynq7020/constrain/gpio.const,M18,J5 Pin18,inout,UNKNOWN,UNKNOWN
