CHANNEL_ID,rtl_channel,serializer_lane,q_output,driver_module_16ch,driver_local_channel
UPPER_TX_00,0,0,0,0,0
UPPER_TX_01,1,0,1,0,1
UPPER_TX_02,2,0,2,0,2
UPPER_TX_03,3,0,3,0,3
UPPER_TX_04,4,1,0,0,4
UPPER_TX_05,5,1,1,0,5
UPPER_TX_06,6,1,2,0,6
UPPER_TX_07,7,1,3,0,7
UPPER_TX_08,8,2,0,0,8
UPPER_TX_09,9,2,1,0,9
UPPER_TX_10,10,2,2,0,10
UPPER_TX_11,11,2,3,0,11
UPPER_TX_12,12,3,0,0,12
UPPER_TX_13,13,3,1,0,13
UPPER_TX_14,14,3,2,0,14
UPPER_TX_15,15,3,3,0,15
UPPER_TX_16,16,4,0,1,0
UPPER_TX_17,17,4,1,1,1
UPPER_TX_18,18,4,2,1,2
UPPER_TX_19,19,4,3,1,3
UPPER_TX_20,20,5,0,1,4
UPPER_TX_21,21,5,1,1,5
UPPER_TX_22,22,5,2,1,6
UPPER_TX_23,23,5,3,1,7
UPPER_TX_24,24,6,0,1,8
UPPER_TX_25,25,6,1,1,9
UPPER_TX_26,26,6,2,1,10
UPPER_TX_27,27,6,3,1,11
UPPER_TX_28,28,7,0,1,12
UPPER_TX_29,29,7,1,1,13
UPPER_TX_30,30,7,2,1,14
UPPER_TX_31,31,7,3,1,15
UPPER_TX_32,32,8,0,2,0
UPPER_TX_33,33,8,1,2,1
UPPER_TX_34,34,8,2,2,2
UPPER_TX_35,35,8,3,2,3
UPPER_TX_36,36,9,0,2,4
UPPER_TX_37,37,9,1,2,5
UPPER_TX_38,38,9,2,2,6
UPPER_TX_39,39,9,3,2,7
UPPER_TX_40,40,10,0,2,8
UPPER_TX_41,41,10,1,2,9
UPPER_TX_42,42,10,2,2,10
UPPER_TX_43,43,10,3,2,11
UPPER_TX_44,44,11,0,2,12
UPPER_TX_45,45,11,1,2,13
UPPER_TX_46,46,11,2,2,14
UPPER_TX_47,47,11,3,2,15
UPPER_TX_48,48,12,0,3,0
UPPER_TX_49,49,12,1,3,1
UPPER_TX_50,50,12,2,3,2
UPPER_TX_51,51,12,3,3,3
UPPER_TX_52,52,13,0,3,4
UPPER_TX_53,53,13,1,3,5
UPPER_TX_54,54,13,2,3,6
UPPER_TX_55,55,13,3,3,7
UPPER_TX_56,56,14,0,3,8
UPPER_TX_57,57,14,1,3,9
UPPER_TX_58,58,14,2,3,10
UPPER_TX_59,59,14,3,3,11
UPPER_TX_60,60,15,0,3,12
UPPER_TX_61,61,15,1,3,13
UPPER_TX_62,62,15,2,3,14
UPPER_TX_63,63,15,3,3,15
LOWER_TX_00,64,16,0,4,0
LOWER_TX_01,65,16,1,4,1
LOWER_TX_02,66,16,2,4,2
LOWER_TX_03,67,16,3,4,3
LOWER_TX_04,68,17,0,4,4
LOWER_TX_05,69,17,1,4,5
LOWER_TX_06,70,17,2,4,6
LOWER_TX_07,71,17,3,4,7
LOWER_TX_08,72,18,0,4,8
LOWER_TX_09,73,18,1,4,9
LOWER_TX_10,74,18,2,4,10
LOWER_TX_11,75,18,3,4,11
LOWER_TX_12,76,19,0,4,12
LOWER_TX_13,77,19,1,4,13
LOWER_TX_14,78,19,2,4,14
LOWER_TX_15,79,19,3,4,15
LOWER_TX_16,80,20,0,5,0
LOWER_TX_17,81,20,1,5,1
LOWER_TX_18,82,20,2,5,2
LOWER_TX_19,83,20,3,5,3
LOWER_TX_20,84,21,0,5,4
LOWER_TX_21,85,21,1,5,5
LOWER_TX_22,86,21,2,5,6
LOWER_TX_23,87,21,3,5,7
LOWER_TX_24,88,22,0,5,8
LOWER_TX_25,89,22,1,5,9
LOWER_TX_26,90,22,2,5,10
LOWER_TX_27,91,22,3,5,11
LOWER_TX_28,92,23,0,5,12
LOWER_TX_29,93,23,1,5,13
LOWER_TX_30,94,23,2,5,14
LOWER_TX_31,95,23,3,5,15
LOWER_TX_32,96,24,0,6,0
LOWER_TX_33,97,24,1,6,1
LOWER_TX_34,98,24,2,6,2
LOWER_TX_35,99,24,3,6,3
LOWER_TX_36,100,25,0,6,4
LOWER_TX_37,101,25,1,6,5
LOWER_TX_38,102,25,2,6,6
LOWER_TX_39,103,25,3,6,7
LOWER_TX_40,104,26,0,6,8
LOWER_TX_41,105,26,1,6,9
LOWER_TX_42,106,26,2,6,10
LOWER_TX_43,107,26,3,6,11
LOWER_TX_44,108,27,0,6,12
LOWER_TX_45,109,27,1,6,13
LOWER_TX_46,110,27,2,6,14
LOWER_TX_47,111,27,3,6,15
LOWER_TX_48,112,28,0,7,0
LOWER_TX_49,113,28,1,7,1
LOWER_TX_50,114,28,2,7,2
LOWER_TX_51,115,28,3,7,3
LOWER_TX_52,116,29,0,7,4
LOWER_TX_53,117,29,1,7,5
LOWER_TX_54,118,29,2,7,6
LOWER_TX_55,119,29,3,7,7
LOWER_TX_56,120,30,0,7,8
LOWER_TX_57,121,30,1,7,9
LOWER_TX_58,122,30,2,7,10
LOWER_TX_59,123,30,3,7,11
LOWER_TX_60,124,31,0,7,12
LOWER_TX_61,125,31,1,7,13
LOWER_TX_62,126,31,2,7,14
LOWER_TX_63,127,31,3,7,15
