classification,shape,emitters,central_focus_pressure_au,error_mean_au,error_p05_au,error_p95_au,gap_m,pitch_m,sound_speed_m_s
SIMULATION_ESTIMATE,planar,2,40.0,39.271386326804546,34.23992921831443,44.16897263790069,0.1,0.012,343.0
SIMULATION_ESTIMATE,planar,8,150.4507276862047,146.11877566074324,139.57000319835726,154.24864943402676,0.1,0.012,343.0
SIMULATION_ESTIMATE,planar,16,270.5924128779612,261.76479523824173,251.7489908015529,272.90658752371445,0.1,0.012,343.0
SIMULATION_ESTIMATE,planar,32,489.4294555979542,473.8926339918435,461.91963891748566,487.0345639757347,0.1,0.012,343.0
SIMULATION_ESTIMATE,planar,72,851.3036684958472,825.5779486608199,805.4556886373758,844.8900246808018,0.1,0.012,343.0
SIMULATION_ESTIMATE,planar,128,1164.228082707899,1125.531451754858,1108.7241072881782,1145.392170800429,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,2,40.0,38.6873806619321,33.93811652845913,43.8135715130153,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,8,154.48266227381927,149.16419556839753,138.1221075037871,159.60174976566333,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,16,290.0064748799307,280.4952668926689,270.3568436603002,293.01194570479447,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,32,546.0220672442442,527.8126104082211,512.9821944495292,543.6409716911658,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,72,1042.2056001397527,1006.5845454090289,986.4905820943077,1026.549287081577,0.1,0.012,343.0
SIMULATION_ESTIMATE,concave,128,1552.8528525259255,1499.7141212573783,1469.2151331842451,1520.3276754351177,0.1,0.012,343.0
