CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,33,0,1,33
UPPER_TX_01,1,210,0,1,210
UPPER_TX_02,2,80,0,1,80
UPPER_TX_03,3,147,0,1,147
UPPER_TX_04,4,147,0,1,147
UPPER_TX_05,5,80,0,1,80
UPPER_TX_06,6,210,0,1,210
UPPER_TX_07,7,33,0,1,33
UPPER_TX_08,8,210,0,1,210
UPPER_TX_09,9,147,0,1,147
UPPER_TX_10,10,31,0,1,31
UPPER_TX_11,11,105,0,1,105
UPPER_TX_12,12,105,0,1,105
UPPER_TX_13,13,31,0,1,31
UPPER_TX_14,14,147,0,1,147
UPPER_TX_15,15,210,0,1,210
UPPER_TX_16,16,80,0,1,80
UPPER_TX_17,17,31,0,1,31
UPPER_TX_18,18,183,0,1,183
UPPER_TX_19,19,9,0,1,9
UPPER_TX_20,20,9,0,1,9
UPPER_TX_21,21,183,0,1,183
UPPER_TX_22,22,31,0,1,31
UPPER_TX_23,23,80,0,1,80
UPPER_TX_24,24,147,0,1,147
UPPER_TX_25,25,105,0,1,105
UPPER_TX_26,26,9,0,1,9
UPPER_TX_27,27,95,0,1,95
UPPER_TX_28,28,95,0,1,95
UPPER_TX_29,29,9,0,1,9
UPPER_TX_30,30,105,0,1,105
UPPER_TX_31,31,147,0,1,147
UPPER_TX_32,32,147,0,1,147
UPPER_TX_33,33,105,0,1,105
UPPER_TX_34,34,9,0,1,9
UPPER_TX_35,35,95,0,1,95
UPPER_TX_36,36,95,0,1,95
UPPER_TX_37,37,9,0,1,9
UPPER_TX_38,38,105,0,1,105
UPPER_TX_39,39,147,0,1,147
UPPER_TX_40,40,80,0,1,80
UPPER_TX_41,41,31,0,1,31
UPPER_TX_42,42,183,0,1,183
UPPER_TX_43,43,9,0,1,9
UPPER_TX_44,44,9,0,1,9
UPPER_TX_45,45,183,0,1,183
UPPER_TX_46,46,31,0,1,31
UPPER_TX_47,47,80,0,1,80
UPPER_TX_48,48,210,0,1,210
UPPER_TX_49,49,147,0,1,147
UPPER_TX_50,50,31,0,1,31
UPPER_TX_51,51,105,0,1,105
UPPER_TX_52,52,105,0,1,105
UPPER_TX_53,53,31,0,1,31
UPPER_TX_54,54,147,0,1,147
UPPER_TX_55,55,210,0,1,210
UPPER_TX_56,56,33,0,1,33
UPPER_TX_57,57,210,0,1,210
UPPER_TX_58,58,80,0,1,80
UPPER_TX_59,59,147,0,1,147
UPPER_TX_60,60,147,0,1,147
UPPER_TX_61,61,80,0,1,80
UPPER_TX_62,62,210,0,1,210
UPPER_TX_63,63,33,0,1,33
LOWER_TX_00,64,33,0,1,33
LOWER_TX_01,65,210,0,1,210
LOWER_TX_02,66,80,0,1,80
LOWER_TX_03,67,147,0,1,147
LOWER_TX_04,68,147,0,1,147
LOWER_TX_05,69,80,0,1,80
LOWER_TX_06,70,210,0,1,210
LOWER_TX_07,71,33,0,1,33
LOWER_TX_08,72,210,0,1,210
LOWER_TX_09,73,147,0,1,147
LOWER_TX_10,74,31,0,1,31
LOWER_TX_11,75,105,0,1,105
LOWER_TX_12,76,105,0,1,105
LOWER_TX_13,77,31,0,1,31
LOWER_TX_14,78,147,0,1,147
LOWER_TX_15,79,210,0,1,210
LOWER_TX_16,80,80,0,1,80
LOWER_TX_17,81,31,0,1,31
LOWER_TX_18,82,183,0,1,183
LOWER_TX_19,83,9,0,1,9
LOWER_TX_20,84,9,0,1,9
LOWER_TX_21,85,183,0,1,183
LOWER_TX_22,86,31,0,1,31
LOWER_TX_23,87,80,0,1,80
LOWER_TX_24,88,147,0,1,147
LOWER_TX_25,89,105,0,1,105
LOWER_TX_26,90,9,0,1,9
LOWER_TX_27,91,95,0,1,95
LOWER_TX_28,92,95,0,1,95
LOWER_TX_29,93,9,0,1,9
LOWER_TX_30,94,105,0,1,105
LOWER_TX_31,95,147,0,1,147
LOWER_TX_32,96,147,0,1,147
LOWER_TX_33,97,105,0,1,105
LOWER_TX_34,98,9,0,1,9
LOWER_TX_35,99,95,0,1,95
LOWER_TX_36,100,95,0,1,95
LOWER_TX_37,101,9,0,1,9
LOWER_TX_38,102,105,0,1,105
LOWER_TX_39,103,147,0,1,147
LOWER_TX_40,104,80,0,1,80
LOWER_TX_41,105,31,0,1,31
LOWER_TX_42,106,183,0,1,183
LOWER_TX_43,107,9,0,1,9
LOWER_TX_44,108,9,0,1,9
LOWER_TX_45,109,183,0,1,183
LOWER_TX_46,110,31,0,1,31
LOWER_TX_47,111,80,0,1,80
LOWER_TX_48,112,210,0,1,210
LOWER_TX_49,113,147,0,1,147
LOWER_TX_50,114,31,0,1,31
LOWER_TX_51,115,105,0,1,105
LOWER_TX_52,116,105,0,1,105
LOWER_TX_53,117,31,0,1,31
LOWER_TX_54,118,147,0,1,147
LOWER_TX_55,119,210,0,1,210
LOWER_TX_56,120,33,0,1,33
LOWER_TX_57,121,210,0,1,210
LOWER_TX_58,122,80,0,1,80
LOWER_TX_59,123,147,0,1,147
LOWER_TX_60,124,147,0,1,147
LOWER_TX_61,125,80,0,1,80
LOWER_TX_62,126,210,0,1,210
LOWER_TX_63,127,33,0,1,33
