CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,193,0,1,193
UPPER_TX_01,1,106,0,1,106
UPPER_TX_02,2,226,0,1,226
UPPER_TX_03,3,33,0,1,33
UPPER_TX_04,4,33,0,1,33
UPPER_TX_05,5,226,0,1,226
UPPER_TX_06,6,106,0,1,106
UPPER_TX_07,7,193,0,1,193
UPPER_TX_08,8,106,0,1,106
UPPER_TX_09,9,33,0,1,33
UPPER_TX_10,10,165,0,1,165
UPPER_TX_11,11,234,0,1,234
UPPER_TX_12,12,234,0,1,234
UPPER_TX_13,13,165,0,1,165
UPPER_TX_14,14,33,0,1,33
UPPER_TX_15,15,106,0,1,106
UPPER_TX_16,16,226,0,1,226
UPPER_TX_17,17,165,0,1,165
UPPER_TX_18,18,50,0,1,50
UPPER_TX_19,19,125,0,1,125
UPPER_TX_20,20,125,0,1,125
UPPER_TX_21,21,50,0,1,50
UPPER_TX_22,22,165,0,1,165
UPPER_TX_23,23,226,0,1,226
UPPER_TX_24,24,33,0,1,33
UPPER_TX_25,25,234,0,1,234
UPPER_TX_26,26,125,0,1,125
UPPER_TX_27,27,204,0,1,204
UPPER_TX_28,28,204,0,1,204
UPPER_TX_29,29,125,0,1,125
UPPER_TX_30,30,234,0,1,234
UPPER_TX_31,31,33,0,1,33
UPPER_TX_32,32,33,0,1,33
UPPER_TX_33,33,234,0,1,234
UPPER_TX_34,34,125,0,1,125
UPPER_TX_35,35,204,0,1,204
UPPER_TX_36,36,204,0,1,204
UPPER_TX_37,37,125,0,1,125
UPPER_TX_38,38,234,0,1,234
UPPER_TX_39,39,33,0,1,33
UPPER_TX_40,40,226,0,1,226
UPPER_TX_41,41,165,0,1,165
UPPER_TX_42,42,50,0,1,50
UPPER_TX_43,43,125,0,1,125
UPPER_TX_44,44,125,0,1,125
UPPER_TX_45,45,50,0,1,50
UPPER_TX_46,46,165,0,1,165
UPPER_TX_47,47,226,0,1,226
UPPER_TX_48,48,106,0,1,106
UPPER_TX_49,49,33,0,1,33
UPPER_TX_50,50,165,0,1,165
UPPER_TX_51,51,234,0,1,234
UPPER_TX_52,52,234,0,1,234
UPPER_TX_53,53,165,0,1,165
UPPER_TX_54,54,33,0,1,33
UPPER_TX_55,55,106,0,1,106
UPPER_TX_56,56,193,0,1,193
UPPER_TX_57,57,106,0,1,106
UPPER_TX_58,58,226,0,1,226
UPPER_TX_59,59,33,0,1,33
UPPER_TX_60,60,33,0,1,33
UPPER_TX_61,61,226,0,1,226
UPPER_TX_62,62,106,0,1,106
UPPER_TX_63,63,193,0,1,193
LOWER_TX_00,64,65,0,1,65
LOWER_TX_01,65,234,0,1,234
LOWER_TX_02,66,98,0,1,98
LOWER_TX_03,67,161,0,1,161
LOWER_TX_04,68,161,0,1,161
LOWER_TX_05,69,98,0,1,98
LOWER_TX_06,70,234,0,1,234
LOWER_TX_07,71,65,0,1,65
LOWER_TX_08,72,234,0,1,234
LOWER_TX_09,73,161,0,1,161
LOWER_TX_10,74,37,0,1,37
LOWER_TX_11,75,106,0,1,106
LOWER_TX_12,76,106,0,1,106
LOWER_TX_13,77,37,0,1,37
LOWER_TX_14,78,161,0,1,161
LOWER_TX_15,79,234,0,1,234
LOWER_TX_16,80,98,0,1,98
LOWER_TX_17,81,37,0,1,37
LOWER_TX_18,82,178,0,1,178
LOWER_TX_19,83,253,0,1,253
LOWER_TX_20,84,253,0,1,253
LOWER_TX_21,85,178,0,1,178
LOWER_TX_22,86,37,0,1,37
LOWER_TX_23,87,98,0,1,98
LOWER_TX_24,88,161,0,1,161
LOWER_TX_25,89,106,0,1,106
LOWER_TX_26,90,253,0,1,253
LOWER_TX_27,91,76,0,1,76
LOWER_TX_28,92,76,0,1,76
LOWER_TX_29,93,253,0,1,253
LOWER_TX_30,94,106,0,1,106
LOWER_TX_31,95,161,0,1,161
LOWER_TX_32,96,161,0,1,161
LOWER_TX_33,97,106,0,1,106
LOWER_TX_34,98,253,0,1,253
LOWER_TX_35,99,76,0,1,76
LOWER_TX_36,100,76,0,1,76
LOWER_TX_37,101,253,0,1,253
LOWER_TX_38,102,106,0,1,106
LOWER_TX_39,103,161,0,1,161
LOWER_TX_40,104,98,0,1,98
LOWER_TX_41,105,37,0,1,37
LOWER_TX_42,106,178,0,1,178
LOWER_TX_43,107,253,0,1,253
LOWER_TX_44,108,253,0,1,253
LOWER_TX_45,109,178,0,1,178
LOWER_TX_46,110,37,0,1,37
LOWER_TX_47,111,98,0,1,98
LOWER_TX_48,112,234,0,1,234
LOWER_TX_49,113,161,0,1,161
LOWER_TX_50,114,37,0,1,37
LOWER_TX_51,115,106,0,1,106
LOWER_TX_52,116,106,0,1,106
LOWER_TX_53,117,37,0,1,37
LOWER_TX_54,118,161,0,1,161
LOWER_TX_55,119,234,0,1,234
LOWER_TX_56,120,65,0,1,65
LOWER_TX_57,121,234,0,1,234
LOWER_TX_58,122,98,0,1,98
LOWER_TX_59,123,161,0,1,161
LOWER_TX_60,124,161,0,1,161
LOWER_TX_61,125,98,0,1,98
LOWER_TX_62,126,234,0,1,234
LOWER_TX_63,127,65,0,1,65
