classification,shape,emitters,gap_m,central_focus_pressure_au,center_node_pressure_au,proxy_center_U,proxy_min_hessian_eigenvalue,coarse_connected_basin_mm3,proxy_grid_step_mm,proxy_escape_threshold
SIMULATION_ESTIMATE,planar,128,0.09,1156.7409399073472,1.579696639290082e-12,-1383892.2416324094,205676350715.40698,25,1,-702366.8656377685
SIMULATION_ESTIMATE,planar,128,0.095,1161.8418741872006,4.150188327076857e-13,-1426929.2226232574,203228229429.64282,21,1,-790050.8921103373
SIMULATION_ESTIMATE,planar,128,0.1,1164.2472882740756,7.889104478475267e-13,-1462046.4497558458,199498126958.29904,21,1,-865951.4861822432
SIMULATION_ESTIMATE,planar,128,0.105,1164.2676593405429,3.781225160071992e-13,-1489656.898834292,194713985637.69986,21,1,-927987.3683352126
SIMULATION_ESTIMATE,planar,128,0.11,1162.18940250977,6.637848151168828e-13,-1510249.5875989778,189089306239.82758,21,1,-975160.0827838103
SIMULATION_ESTIMATE,planar,128,0.115,1158.274967402585,1.935532157385916e-13,-1524362.0506342482,182818867229.22086,21,1,-1007397.7206909601
SIMULATION_ESTIMATE,concave,128,0.09,1549.892639558743,2.424447426322066e-13,-2222451.582787338,396476902283.57733,55,1,-623907.9304119326
SIMULATION_ESTIMATE,concave,128,0.095,1553.598621703399,1.892761652850657e-12,-2300949.184136595,394246027132.99,39,1,-773986.1707546761
SIMULATION_ESTIMATE,concave,128,0.1,1552.8712564950906,7.215830692538382e-14,-2363330.65674019,388595040822.4915,37,1,-944318.7621037057
SIMULATION_ESTIMATE,concave,128,0.105,1548.2574053618102,3.662710713087801e-13,-2410278.2752346825,380064340014.2618,29,1,-1107479.5493125413
SIMULATION_ESTIMATE,concave,128,0.11,1540.2691727385215,9.232912843801628e-13,-2442737.790856854,369190138947.5795,25,1,-1255374.175091981
SIMULATION_ESTIMATE,concave,128,0.115,1529.380205628917,1.5974173690211328e-12,-2461836.6123169377,356482158231.87494,21,1,-1381991.8316077525
