Passive Value Map — 原理图捕获时直接按此配置,,,,,,,
,,,,,,,
Board,Use,Value/spec,Qty/board,Placement,MPN,Fit,
Array,TC4427 bypass,100nF/50V X7R,32,At each driver,GRM188R71H104KA93D,FIT,
Array,TC4427 local,1uF/25V X7R,32,At each driver,GRM21BR71E105KA99L,FIT,
Array,Driver bulk,22uF/25V X7R,8,Per 4 drivers,GRM32ER71E226KE15L,FIT,
Array,Driver input PD,100k 1%,64,Each input,RC0603FR-07100KL,FIT,
Array,TX series,0R,64,OUT→TX+,RC0603JR-070RL,FIT,
Array,TX damping,1.2k 1%,64,Across TX,RC0603FR-071K2L,DNP,
Array,Clock source,33R 1%,8,Buffer outputs,RC0603FR-0733RL,FIT,
Array,RX input R,1k 1%,4,TCT40-R input,RC0603FR-071KL,FIT,
Array,RX coupling C,10nF C0G,4,AFE input,GRM1885C1H103JA01D,FIT,
Array,RX bias,100k 1%,4,To VREF,RC0603FR-07100KL,FIT,
Array,Stage1 Rf,100k 0.1%,4,OPA,RT0603BRD07100KL,FIT,
Array,Stage1 Rg,10k 0.1%,4,OPA→VREF,RT0603BRD0710KL,FIT,
Array,Stage2 Rf/Rg,10k 0.1%,8,OPA,RT0603BRD0710KL,FIT,
Array,AFE out R,1k 1%,4,RC filter,RC0603FR-071KL,FIT,
Array,AFE out C,1nF C0G,4,RC filter,GRM1885C1H102JA01D,FIT,
Array,Cable series,47R 1%,4,RJ45 source,RC0603FR-0747RL,FIT,
Array,Stage2 bypass,0R,4,Jumper,RC0603JR-070RL,Selectable,
Array,Alt gain,39k 0.1%,4,Reserved,RT0603BRD0739KL,DNP,
Array/ADC,eFuse ILIM,1.65k 1%,1,TPS259470,RC0603FR-071K65L,FIT,
Array/ADC,OVLO top,1.37M 1%,1,TPS259470,RC0603FR-071M37L,FIT,
Array/ADC,OVLO bottom,100k 1%,1,TPS259470,RC0603FR-07100KL,FIT,
Array/ADC,dVdt C,3.3nF,1,TPS259470,GRM1885C1H332JA01D,FIT,
Array/ADC,ITIMER C,2.2nF,1,TPS259470,GRM1885C1H222JA01D,PROVISIONAL,
Array/ADC,5.5V FB top,590k 1%,1,AP63200,RC0603FR-07590KL,FIT,
Array/ADC,5.5V FB bot,100k 1%,1,AP63200,RC0603FR-07100KL,FIT,
Array/ADC,Buck Cin,10uF/25V,2,AP6320x,GRM31CR71E106KA12L,FIT,
Array/ADC,Buck Cout,22uF/25V,4,2 per buck,GRM32ER71E226KE15L,FIT,
Array/ADC,Buck L,6.8uH/5A,2,Both bucks,FXL0630-6R8-M,FIT,
Array/ADC,LDO caps,2.2uF/25V,2,ADP7118,GRM21BR71E225KA73L,FIT,
Array/ADC,Shunt,20mR 2W 1%,1,INA226,GX2512-2W-20mR-1%,FIT,
Array/ADC,INA R,10R 1%,2,INA inputs,RC0603FR-0710RL,FIT,
Array/ADC,INA C,100nF,1,Across inputs,GRM188R71H104KA93D,FIT,
ADC,Input R,47R 1%,8,ADC input,RC0603FR-0747RL,FIT,
ADC,Input C,1nF C0G,8,ADC input,GRM1885C1H102JA01D,FIT,
ADC,REGCAP,1uF,2,AD7606,GRM21BR71E105KA99L,FIT,
ADC,REFCAP,10uF,2,AD7606,GRM31CR71E106KA12L,FIT,
Sensor,Decouple,100nF,1,SHT45,GRM188R71H104KA93D,FIT,
I2C,Pull-ups,4.7k 1%,2,SCL/SDA,RC0603FR-074K7L,Populate once/bus,
