Research Sources / Procurement Snapshot,,,,
,,,,
Item,Source/Channel,Verified,URL,Distributor ID
AD7606B,Analog Devices/LCSC,8ch simultaneous 16b 800kSPS,https://www.analog.com/en/products/ad7606b.html,C651284
TC4427A,Microchip/LCSC,Dual 1.5A driver 4.5–18V,https://www.microchip.com/en-us/product/TC4427A,C20551
SN74AXC8T245,TI/LCSC,Dual-supply translation,https://www.ti.com/product/SN74AXC8T245,C882718
SN74LVC595A,TI/LCSC,High-speed serializer,https://www.ti.com/product/SN74LVC595A,C52287685
SN74LVC244A,TI/LCSC,Clock fanout,https://www.ti.com/product/SN74LVC244A,C7668
TMUX1574,TI/LCSC,Quad SPDT blanking switch,https://www.ti.com/product/TMUX1574,C2673443
OPA4192,TI,10MHz low-noise quad RRIO,https://www.ti.com/product/OPA4192,Authorized CN
REF5025,TI/LCSC,2.5V reference,https://www.ti.com/product/REF5025,C11341
TPS259470,TI/LCSC,2.7–23V eFuse,https://www.ti.com/product/TPS25947,C3662793
INA226,TI/LCSC,36V power monitor,https://www.ti.com/product/INA226,C49851
TMP117,TI/LCSC,High-accuracy temp,https://www.ti.com/product/TMP117,C2803242
AP63203,Diodes/LCSC,3.3V 2A buck,https://www.diodes.com/part/view/AP63203,C780769
AP63200,Diodes/LCSC,Adjustable 2A buck,https://www.diodes.com/part/view/AP63200,C2071868
ADP7118,ADI/LCSC,Low-noise 5V LDO,https://www.analog.com/en/products/adp7118.html,C659349
SHT45,Sensirion/DigiKey CN,±1%RH T/H sensor,https://sensirion.com/products/catalog/SHT45,DigiKey China
Ferrite,Murata/LCSC,220R@100MHz 2A,https://www.lcsc.com/product-detail/C85840.html,C85840
6.8uH,cjiang/LCSC,6.8uH 5A 48mR,https://www.lcsc.com/product-detail/Power-Inductors_cjiang-Changjiang-Microelectronics-Tech-FXL0630-6R8-M_C167221.html,C167221
20mR shunt,Milliohm/LCSC,20mR 2W 1%,https://www.lcsc.com/zh-CN/product-detail/current-sense-resistors-shunt-resistors_milliohm-gx2512-2w-20mr-1_C500720.html,C500720
RJ45 passive,Kinghelm/LCSC,Shielded 8P8C no magnetics,https://www.lcsc.com/product-detail/Ethernet-Connectors-Modular-Connectors-RJ45-RJ11_Shenzhen-Kinghelm-Elec-KH-5224-8P8C_C2683357.html,C2683357
XT30,AMASS/LCSC,15A-class power connector,https://www.lcsc.com/product-detail/plug_Changzhou-Amass-Elec-XT30PW-M30-G-Y_C431092.html,C431092
JST XH,JST/LCSC,Remote sensor cable,https://www.lcsc.com/product-detail/C144395.html,C144395/C144403/C140573
MEAN WELL,MEAN WELL China,15V 7A 105W adapter,https://www.meanwell.com/webapp/product/search.aspx?prod=GST120A,Authorized China
SonicSurface,upnalab GitHub,Open 256-transducer hardware reference,https://github.com/upnalab/SonicSurface,Open hardware
Ultraino,GitHub,Open phased-array ecosystem,https://github.com/asiermarzo/Ultraino,Open hardware
