CHANNEL_ID,rtl_channel,x_mm,y_mm,z_mm,normal_x,normal_y,normal_z,coordinate_reference
UPPER_TX_00,0,-42.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_01,1,-30.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_02,2,-18.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_03,3,-6.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_04,4,6.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_05,5,18.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_06,6,30.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_07,7,42.0,-42.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_08,8,-42.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_09,9,-30.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_10,10,-18.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_11,11,-6.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_12,12,6.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_13,13,18.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_14,14,30.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_15,15,42.0,-30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_16,16,-42.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_17,17,-30.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_18,18,-18.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_19,19,-6.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_20,20,6.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_21,21,18.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_22,22,30.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_23,23,42.0,-18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_24,24,-42.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_25,25,-30.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_26,26,-18.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_27,27,-6.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_28,28,6.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_29,29,18.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_30,30,30.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_31,31,42.0,-6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_32,32,-42.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_33,33,-30.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_34,34,-18.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_35,35,-6.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_36,36,6.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_37,37,18.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_38,38,30.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_39,39,42.0,6.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_40,40,-42.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_41,41,-30.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_42,42,-18.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_43,43,-6.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_44,44,6.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_45,45,18.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_46,46,30.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_47,47,42.0,18.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
UPPER_TX_48,48,-42.0,30.0,47.5,0.0,0.0,-1.0,RADIATING_SURFACE_CENTER
